Output data for Rhombohedral II structure, Space-Group Number between 143 and 148: 
T(K)           V(ang^3/atom)  P(GPa)         rho(g/cm^3)    C11(GPa)       C12(GPa)       C13(GPa)       C14(GPa)       C15(GPa)       C33(GPa)       C44(GPa)       BV(GPa)        BR(GPa)        BH(GPa)        GV(GPa)        GR(GPa)        GH(GPa)        EV(GPa)        ER(GPa)        EH(GPa)        nuH            kH             HH(GPa)        AVR            AU             vl(km/s)       vb(km/s)       Debye(K)       
100.0000       6.3182         9.0000         5.4839         498.7761       184.3000       129.4400       -12.7725       30.5130        406.7209       120.2407       254.5148       249.6142       252.0645       143.6168       133.6664       138.6416       362.6404       340.2632       351.4833       0.2676         0.5500         14.7944        0.0359         0.3918         8.9259         6.7797         284.8725       
100.0000       6.2914         10.0000        5.5073         504.1038       187.6205       133.4002       -12.5138       31.0140        411.6732       122.1041       258.7470       253.8775       256.3122       144.8540       135.0189       139.9365       366.2215       344.0628       355.1726       0.2690         0.5460         14.7369        0.0351         0.3834         8.9677         6.8221         286.0476       
100.0000       6.2684         11.0000        5.5275         509.3935       190.9433       137.3497       -12.2541       31.5058        416.5657       123.9395       262.9598       258.1184       260.5391       146.0681       136.3392       141.2037       369.7431       347.7840       358.7930       0.2705         0.5420         14.6782        0.0344         0.3755         9.0108         6.8655         287.2136       
100.0000       6.2453         12.0000        5.5480         514.6447       194.2685       141.2885       -11.9935       31.9884        421.3981       125.7466       267.1532       262.3368       264.7450       147.2591       137.6278       142.4434       373.2050       351.4278       362.3449       0.2719         0.5380         14.6183        0.0338         0.3683         9.0528         6.9079         288.3438       
100.0000       6.2222         13.0000        5.5685         519.8577       197.5960       145.2165       -11.7320       32.4618        426.1705       127.5256       271.3271       266.5328       268.9299       148.4269       138.8852       143.6560       376.6075       354.9951       365.8290       0.2733         0.5342         14.5572        0.0332         0.3615         9.0935         6.9494         289.4388       
100.0000       6.1992         14.0000        5.5892         525.0323       200.9257       149.1338       -11.4696       32.9261        430.8830       129.2764       275.4816       270.7064       273.0940       149.5715       140.1118       144.8417       379.9504       358.4870       369.2457       0.2747         0.5304         14.4950        0.0327         0.3552         9.1331         6.9900         290.4995       
100.0000       6.1761         15.0000        5.6101         530.1688       204.2578       153.0403       -11.2063       33.3811        435.5356       130.9991       279.6167       274.8577       277.2372       150.6931       141.3082       146.0006       383.2341       361.9046       372.5956       0.2760         0.5266         14.4316        0.0321         0.3494         9.1715         7.0298         291.5265       
100.0000       6.1544         16.0000        5.6299         535.2671       207.5923       156.9361       -10.9421       33.8270        440.1284       132.6938       283.7324       278.9869       281.3596       151.7915       142.4748       147.1332       386.4586       365.2486       375.8792       0.2773         0.5229         14.3670        0.0317         0.3440         9.2099         7.0694         292.5315       
100.0000       6.1328         17.0000        5.6497         540.3273       210.9291       160.8213       -10.6769       34.2637        444.6613       134.3603       287.8288       283.0937       285.4613       152.8669       143.6121       148.2395       389.6239       368.5200       379.0970       0.2787         0.5193         14.3014        0.0312         0.3389         9.2472         7.1082         293.5041       
100.0000       6.1111         18.0000        5.6698         545.3495       214.2682       164.6957       -10.4109       34.6913        449.1344       135.9988       291.9058       287.1785       289.5421       153.9192       144.7203       149.3197       392.7300       371.7196       382.2493       0.2800         0.5157         14.2347        0.0308         0.3343         9.2835         7.1462         294.4451       
