The SAM model uses the reference state from grossular.dat at T = 0.000000       K
Reference data for Cubic structure, Space-Group Number between 195 and 230: 
T(K)           V(ang^3/atom)  P(GPa)         rho(g/cm^3)    C11(GPa)       C12(GPa)       C44(GPa)       BH(GPa)        GH(GPa)        EH(GPa)        Debye(K)       
500.0000       9.0000         9.8862         380.6320       121.6230       105.7881       208.0313       114.6685       290.6677       
500.0000       10.0000        9.8374         387.0649       124.8813       106.5600       212.3454       115.7353       293.8824       
500.0000       11.0000        9.7892         393.4238       128.1470       107.3161       216.6398       116.7769       297.0287       
500.0000       12.0000        9.7449         399.7102       131.4203       108.0566       220.9151       117.7938       300.1079       
500.0000       13.0000        9.6967         405.9216       134.7005       108.7812       225.1700       118.7853       303.1188       
500.0000       14.0000        9.6474         412.0593       137.9878       109.4899       229.4052       119.7520       306.0625       
500.0000       15.0000        9.6004         418.1244       141.2827       110.1832       233.6213       120.6942       308.9400       
500.0000       16.0000        9.5594         424.1181       144.5856       110.8612       237.8189       121.6122       311.7524       
500.0000       17.0000        9.5149         430.0380       147.8954       111.5234       241.9965       122.5054       314.4983       
500.0000       18.0000        9.4889         435.8902       151.2146       112.1711       246.1578       123.3754       317.1817       
500.0000       19.0000        9.4487         441.6658       154.5397       112.8026       250.2975       124.2202       319.7974       
500.0000       20.0000        9.4136         447.3702       157.8726       113.4189       254.4188       125.0410       322.3489       
500.0000       21.0000        9.3779         453.0022       161.2129       114.0198       258.5208       125.8377       324.8355       
500.0000       22.0000        9.3391         458.5611       164.5603       114.6052       262.6032       126.6101       327.2572       
500.0000       23.0000        9.3070         464.0496       167.9158       115.1756       266.6676       127.3589       329.6155       
500.0000       24.0000        9.2724         469.4655       171.2784       115.7307       270.7126       128.0836       331.9093       
500.0000       25.0000        9.2313         474.8080       174.6478       116.2702       274.7375       128.7841       334.1384       
600.0000       0.0000         10.4005        314.8424       91.4098        97.1133        166.0053       102.6493       255.3641       
600.0000       1.0000         10.3445        322.0379       94.6047        98.0578        170.5303       103.9838       259.3040       
600.0000       2.0000         10.2901        329.1558       97.8066        98.9855        175.0343       105.2910       263.1675       
600.0000       3.0000         10.2329        336.1948       101.0150       99.8961        179.5163       106.5707       266.9546       
600.0000       4.0000         10.1751        343.1562       104.2302       100.7898       183.9770       107.8234       270.6669       
600.0000       5.0000         10.1265        350.0444       107.4534       101.6676       188.4187       109.0504       274.3083       
600.0000       6.0000         10.0728        356.8539       110.6830       102.5285       192.8384       110.2503       277.8754       
600.0000       7.0000         10.0185        363.5870       113.9194       103.3728       197.2373       111.4239       281.3704       
600.0000       8.0000         9.9669         370.2451       117.1632       104.2009       201.6162       112.5717       284.7949       
600.0000       9.0000         9.9191         376.8292       120.4144       105.0131       205.9754       113.6941       288.1499       
600.0000       10.0000        9.8696         383.3371       123.6726       105.8089       210.3138       114.7905       291.4346       
600.0000       11.0000        9.8208         389.7703       126.9379       106.5886       214.6322       115.8614       294.6502       
600.0000       12.0000        9.7758         396.1301       130.2108       107.3526       218.9311       116.9073       297.7981       
