Output data for Cubic structure, Space-Group Number between 195 and 230: 
T(K)           V(ang^3/atom)  P(GPa)         rho(g/cm^3)    C11(GPa)       C12(GPa)       C44(GPa)       BV(GPa)        BR(GPa)        BH(GPa)        GV(GPa)        GR(GPa)        GH(GPa)        EV(GPa)        ER(GPa)        EH(GPa)        nuH            kH             HH(GPa)        AVR            AU             vl(km/s)       vb(km/s)       Debye(K)       
200.0000       9.1645         25.0000        4.0808         482.7011       178.2426       117.4923       279.7288       279.7288       279.7288       131.3870       129.2936       130.3403       340.8033       336.0981       338.4532       0.2983         0.4660         11.1355        0.0080         0.0810         10.5420        8.2793         283.9393       
300.0000       10.2825        0.0000         3.6371         328.3446       95.0271        100.1045       172.7996       172.7996       172.7996       106.7262       106.1285       106.4274       265.5152       264.2809       264.8984       0.2445         0.6159         14.4014        0.0028         0.0282         9.3019         6.8928         259.8427       
300.0000       10.2289        1.0000         3.6562         335.2826       98.2180        100.9689       177.2395       177.2395       177.2395       107.9943       107.3304       107.6623       269.2891       267.9116       268.6007       0.2474         0.6074         14.2380        0.0031         0.0309         9.3669         6.9625         261.2067       
300.0000       10.1768        2.0000         3.6749         342.1474       101.4163       101.8176       181.6600       181.6600       181.6600       109.2368       108.5058       108.8713       272.9915       271.4679       272.2301       0.2502         0.5993         14.0797        0.0034         0.0337         9.4304         7.0308         262.5322       
300.0000       10.1219        3.0000         3.6948         348.9381       104.6220       102.6505       186.0607       186.0607       186.0607       110.4535       109.6549       110.0542       276.6224       274.9506       275.7870       0.2530         0.5915         13.9260        0.0036         0.0364         9.4906         7.0963         263.8009       
300.0000       10.0663        4.0000         3.7153         355.6556       107.8351       103.4677       190.4419       190.4419       190.4419       111.6447       110.7781       111.2114       280.1827       278.3611       279.2725       0.2556         0.5840         13.7764        0.0039         0.0391         9.5484         7.1596         265.0230       
300.0000       10.0199        5.0000         3.7325         362.3019       111.0561       104.2697       194.8047       194.8047       194.8047       112.8110       111.8763       112.3436       283.6745       281.7018       282.6888       0.2581         0.5767         13.6307        0.0042         0.0418         9.6085         7.2244         266.2440       
300.0000       9.9683         6.0000         3.7517         368.8744       114.2844       105.0559       199.1477       199.1477       199.1477       113.9515       112.9490       113.4502       287.0961       284.9719       286.0348       0.2606         0.5697         13.4884        0.0044         0.0444         9.6644         7.2857         267.4010       
300.0000       9.9162         7.0000         3.7715         375.3741       117.5201       105.8265       203.4714       203.4714       203.4714       115.0667       113.9966       114.5317       290.4488       288.1728       289.3116       0.2630         0.5629         13.3492        0.0047         0.0469         9.7181         7.3451         268.5148       
300.0000       9.8667         8.0000         3.7904         381.8018       120.7635       106.5818       207.7763       207.7763       207.7763       116.1567       115.0197       115.5882       293.7333       291.3059       292.5205       0.2654         0.5563         13.2127        0.0049         0.0494         9.7712         7.4038         269.6009       
300.0000       9.8210         9.0000         3.8080         388.1580       124.0146       107.3218       212.0624       212.0624       212.0624       117.2218       116.0184       116.6201       296.9502       294.3720       295.6621       0.2676         0.5499         13.0788        0.0052         0.0519         9.8245         7.4624         270.6661       
300.0000       9.7735         10.0000        3.8265         394.4416       127.2732       108.0464       216.3293       216.3293       216.3293       118.2615       116.9927       117.6271       300.0991       297.3713       298.7363       0.2698         0.5437         12.9472        0.0054         0.0542         9.8753         7.5189         271.6855       
300.0000       9.7267         11.0000        3.8450         400.6532       130.5394       108.7556       220.5773       220.5773       220.5773       119.2761       117.9430       118.6096       303.1805       300.3046       301.7438       0.2720         0.5377         12.8177        0.0056         0.0565         9.9247         7.5742         272.6707       
300.0000       9.6837         12.0000        3.8620         406.7936       133.8134       109.4497       224.8068       224.8068       224.8068       120.2658       118.8695       119.5677       306.1953       303.1729       304.6855       0.2741         0.5319         12.6901        0.0058         0.0587         9.9744         7.6295         273.6380       
300.0000       9.6369         13.0000        3.8808         412.8615       137.0947       110.1283       229.0170       229.0170       229.0170       121.2303       119.7721       120.5012       309.1427       305.9760       307.5608       0.2762         0.5262         12.5641        0.0061         0.0609         10.0207        7.6820         274.5510       
300.0000       9.5888         14.0000        3.9002         418.8575       140.3835       110.7916       233.2082       233.2082       233.2082       122.1698       120.6510       121.4104       312.0232       308.7147       310.3705       0.2782         0.5206         12.4397        0.0063         0.0629         10.0647        7.7326         275.4233       
300.0000       9.5431         15.0000        3.9189         424.7823       143.6801       111.4399       237.3808       237.3808       237.3808       123.0844       121.5065       122.2955       314.8376       311.3899       313.1154       0.2802         0.5152         12.3166        0.0065         0.0649         10.1085        7.7829         276.2721       
300.0000       9.5034         16.0000        3.9353         430.6367       146.9846       112.0731       241.5353       241.5353       241.5353       123.9743       122.3390       123.1567       317.5863       314.0025       315.7961       0.2821         0.5099         12.1948        0.0066         0.0668         10.1540        7.8343         277.1167       
300.0000       9.4602         17.0000        3.9533         436.4191       150.2966       112.6911       245.6707       245.6707       245.6707       124.8391       123.1482       123.9937       320.2686       316.5517       318.4120       0.2840         0.5047         12.0741        0.0068         0.0687         10.1962        7.8831         277.9104       
300.0000       9.4354         18.0000        3.9636         442.1332       153.6173       113.2945       249.7893       249.7893       249.7893       125.6799       123.9350       124.8074       322.8868       319.0402       320.9654       0.2858         0.4997         11.9545        0.0070         0.0704         10.2471        7.9385         278.7634       
300.0000       9.3964         19.0000        3.9801         447.7737       156.9448       113.8823       253.8878       253.8878       253.8878       126.4952       124.6983       125.5968       325.4377       321.4652       323.4534       0.2877         0.4947         11.8356        0.0072         0.0720         10.2890        7.9868         279.5139       
300.0000       9.3626         20.0000        3.9945         453.3440       160.2802       114.4552       257.9681       257.9681       257.9681       127.2859       125.4390       126.3624       327.9234       323.8288       325.8782       0.2895         0.4898         11.7176        0.0073         0.0736         10.3325        8.0362         280.2584       
300.0000       9.3282         21.0000        4.0092         458.8430       163.6232       115.0131       262.0298       262.0298       262.0298       128.0518       126.1568       127.1043       330.3434       326.1308       328.2393       0.2912         0.4851         11.6003        0.0075         0.0751         10.3743        8.0843         280.9692       
300.0000       9.2905         22.0000        4.0255         464.2707       166.9737       115.5558       266.0727       266.0727       266.0727       128.7929       126.8519       127.8224       332.6977       328.3713       330.5367       0.2930         0.4804         11.4835        0.0076         0.0765         10.4132        8.1300         281.6331       
