#Y. Zhao, Z. Wu, S. Hao, W. Wang, X. Deng, J. Song, Elastic properties of fe-bearing akimotoite at mantle conditions: Implications for composition and temperature in lower mantle transition zone, Fundamental Research 2 (2022) 570–577.
#T(K)	V(Ang^3/atom)	P(GPa)	rho(None)	C11(GPa)	C12(GPa)	C13(GPa)	C14(GPa)	C15(GPa)	C33(GPa)	C44(GPa)
1500	6.45222	13	1	461.32652	179.68373	120.86685	-13.77184	18.53325	379.25348	102.56765
1500	6.42326	14	1	467.96768	183.19332	125.0754	-13.51456	19.193	385.15232	104.9026
1500	6.39371	15	1	474.543	186.71325	129.27125	-13.256	19.83125	390.957	107.19125
1500	6.36736	16	1	481.05248	190.24352	133.4544	-12.99616	20.448	396.66752	109.4336
1500	6.33979	17	1	487.49612	193.78413	137.62485	-12.73504	21.04325	402.28388	111.62965
1500	6.31246	18	1	493.87392	197.33508	141.7826	-12.47264	21.617	407.80608	113.7794
1500	6.28907	19	1	500.18588	200.89637	145.92765	-12.20896	22.16925	413.23412	115.88285
1500	6.26625	20	1	506.432	204.468	150.06	-11.944	22.7	418.568	117.94
1500	6.24228	21	1	512.61228	208.04997	154.17965	-11.67776	23.20925	423.80772	119.95085
1500	6.21408	22	1	518.72672	211.64228	158.2866	-11.41024	23.697	428.95328	121.9154
1500	6.18611	23	1	524.77532	215.24493	162.38085	-11.14144	24.16325	434.00468	123.83365
1500	6.16621	24	1	530.75808	218.85792	166.4624	-10.87136	24.608	438.96192	125.7056
1500	6.14533	25	1	536.675	222.48125	170.53125	-10.6	25.03125	443.825	127.53125
1500	6.11824	26	1	542.52608	226.11492	174.5874	-10.32736	25.433	448.59392	129.3106
1500	6.10308	27	1	548.31132	229.75893	178.63085	-10.05344	25.81325	453.26868	131.04365
1500	6.08309	28	1	554.03072	233.41328	182.6616	-9.77824	26.172	457.84928	132.7304
1500	6.06414	29	1	559.68428	237.07797	186.67965	-9.50176	26.50925	462.33572	134.37085
1500	6.04012	30	1	565.272	240.753	190.685	-9.224	26.825	466.728	135.965
2000	7.05441	0	1	335	128	54	-18	0	266	54
2000	7.00717	1	1	343.30976	131.35883	58.48352	-17.76922	1.17513	273.91313	57.3415
2000	6.95974	2	1	351.53904	134.73532	62.95408	-17.53688	2.32052	281.71252	60.626
2000	6.9143	3	1	359.68784	138.12947	67.41168	-17.30298	3.43617	289.39817	63.8535
2000	6.86992	4	1	367.75616	141.54128	71.85632	-17.06752	4.52208	296.97008	67.024
2000	6.82948	5	1	375.744	144.97075	76.288	-16.8305	5.57825	304.42825	70.1375
2000	6.78626	6	1	383.65136	148.41788	80.70672	-16.59192	6.60468	311.77268	73.194
2000	6.74635	7	1	391.47824	151.88267	85.11248	-16.35178	7.60137	319.00337	76.1935
2000	6.71266	8	1	399.22464	155.36512	89.50528	-16.11008	8.56832	326.12032	79.136
2000	6.67711	9	1	406.89056	158.86523	93.88512	-15.86682	9.50553	333.12353	82.0215
2000	6.63583	10	1	414.476	162.383	98.252	-15.622	10.413	340.013	84.85
2000	6.6058	11	1	421.98096	165.91843	102.60592	-15.37562	11.29073	346.78873	87.6215
2000	6.56988	12	1	429.40544	169.47152	106.94688	-15.12768	12.13872	353.45072	90.336
2000	6.53617	13	1	436.74944	173.04227	111.27488	-14.87818	12.95697	359.99897	92.9935
2000	6.50921	14	1	444.01296	176.63068	115.58992	-14.62712	13.74548	366.43348	95.594
2000	6.47978	15	1	451.196	180.23675	119.892	-14.3745	14.50425	372.75425	98.1375
2000	6.44773	16	1	458.29856	183.86048	124.18112	-14.12032	15.23328	378.96128	100.624
2000	6.41289	17	1	465.32064	187.50187	128.45728	-13.86458	15.93257	385.05457	103.0535
2000	6.39257	18	1	472.26224	191.16092	132.72048	-13.60728	16.60212	391.03412	105.426
2000	6.36196	19	1	479.12336	194.83763	136.97072	-13.34842	17.24193	396.89993	107.7415
2000	6.33713	20	1	485.904	198.532	141.208	-13.088	17.852	402.652	110
2000	6.30796	21	1	492.60416	202.24403	145.43232	-12.82602	18.43233	408.29033	112.2015
2000	6.2823	22	1	499.22384	205.97372	149.64368	-12.56248	18.98292	413.81492	114.346
2000	6.25585	23	1	505.76304	209.72107	153.84208	-12.29738	19.50377	419.22577	116.4335
2000	6.23116	24	1	512.22176	213.48608	158.02752	-12.03072	19.99488	424.52288	118.464
2000	6.20577	25	1	518.6	217.26875	162.2	-11.7625	20.45625	429.70625	120.4375
2000	6.18491	26	1	524.89776	221.06908	166.35952	-11.49272	20.88788	434.77588	122.354
2000	6.16396	27	1	531.11504	224.88707	170.50608	-11.22138	21.28977	439.73177	124.2135
2000	6.14646	28	1	537.25184	228.72272	174.63968	-10.94848	21.66192	444.57392	126.016
2000	6.12508	29	1	543.30816	232.57603	178.76032	-10.67402	22.00433	449.30233	127.7615
2000	6.09681	30	1	549.284	236.447	182.868	-10.398	22.317	453.917	129.45
