Output data for Orthorhombic structure, Space-Group Number between 16 and 74: 
T(K)           V(ang^3/atom)  P(GPa)         rho(g/cm^3)    C11(GPa)       C12(GPa)       C13(GPa)       C22(GPa)       C23(GPa)       C33(GPa)       C44(GPa)       C55(GPa)       C66(GPa)       BV(GPa)        BR(GPa)        BH(GPa)        GV(GPa)        GR(GPa)        GH(GPa)        EV(GPa)        ER(GPa)        EH(GPa)        nuH            kH             HH(GPa)        AVR            AU             vl(km/s)       vb(km/s)       Debye(K)       
300.0000       9.9476         6.0000         1.7491         277.7000       111.6200       98.4700        221.2660       94.6100        263.9540       91.4880        85.1600        93.6460        152.4800       151.0051       151.7426       84.6068        83.1082        83.8575        214.2022       210.6751       212.4391       0.2667         0.5526         10.3337        0.0089         0.0999         12.2752        9.3143         337.1787       
300.0000       9.8853         7.0000         1.7601         284.4000       116.3200       103.7400       227.0920       100.3700       271.7380       92.4360        85.8600        95.3220        158.2322       156.7421       157.4871       85.5769        84.0263        84.8016        217.5174       213.8629       215.6907       0.2717         0.5385         10.0197        0.0091         0.1018         12.3982        9.4592         338.9238       
300.0000       9.8230         8.0000         1.7713         291.1000       121.0200       109.0100       232.9180       106.1300       279.5220       93.3840        86.5600        96.9980        163.9844       162.4737       163.2290       86.5471        84.9412        85.7441        220.7973       217.0066       218.9026       0.2765         0.5253         9.7301         0.0094         0.1038         12.5179        9.5997         340.6399       
300.0000       9.7606         9.0000         1.7826         297.8000       125.7200       114.2800       238.7440       111.8900       287.3060       94.3320        87.2600        98.6740        169.7367       168.2000       168.9683       87.5172        85.8531        86.6852        224.0453       220.1097       222.0782       0.2809         0.5130         9.4621         0.0096         0.1061         12.6343        9.7359         342.3279       
300.0000       9.6982         10.0000        1.7940         304.5000       130.4200       119.5500       244.5700       117.6500       295.0900       95.2800        87.9600        100.3500       175.4889       173.9213       174.7051       88.4873        86.7622        87.6248        227.2640       223.1756       225.2206       0.2851         0.5016         9.2136         0.0098         0.1084         12.7477        9.8681         343.9890       
400.0000       10.4385        0.0000         1.6668         225.8767       76.5379        55.8762        171.2296       47.2127        192.3113       81.3117        74.1436        79.0682        105.4079       103.2394       104.3237       74.2241        72.9334        73.5787        180.3423       177.0968       178.7197       0.2145         0.7053         13.4313        0.0088         0.1095         11.0203        7.9113         316.4762       
400.0000       10.3583        1.0000         1.6797         234.2903       82.3107        62.9529        179.5090       55.0889        204.2538       82.9971        76.0198        81.4373        113.1953       111.2312       112.2132       75.9375        74.6381        75.2878        186.1795       182.9854       184.5824       0.2258         0.6709         12.7083        0.0086         0.1047         11.2502        8.1734         320.1235       
400.0000       10.2781        2.0000         1.6928         242.7014       88.0814        70.0261        187.7836       62.9608        216.1880       84.6810        77.8936        83.8052        120.9789       119.1833       120.0811       77.6496        76.3297        76.9897        191.8935       188.7046       190.2991       0.2359         0.6411         12.0915        0.0086         0.1015         11.4706        8.4223         323.6699       
400.0000       10.1980        3.0000         1.7061         251.1100       93.8502        77.0957        196.0536       70.8285        228.1143       86.3636        79.7653        86.1718        128.7585       127.0981       127.9283       79.3604        78.0103        78.6853        197.5039       194.2821       195.8931       0.2448         0.6151         11.5604        0.0086         0.0996         11.6822        8.6592         327.1237       
400.0000       10.1178        4.0000         1.7196         259.5163       99.6171        84.1621        204.3191       78.6922        240.0328       88.0449        81.6348        88.5372        136.5345       134.9775       135.7560       81.0698        79.6811        80.3755        203.0260       199.7394       201.3830       0.2528         0.5921         11.0992        0.0086         0.0987         11.8854        8.8850         330.4917       
400.0000       10.0378        5.0000         1.7334         267.9203       105.3822       91.2251        212.5802       86.5518        251.9438       89.7249        83.5022        90.9015        144.3070       142.8233       143.5651       82.7781        81.3434        82.0607        208.4725       205.0940       206.7836       0.2599         0.5716         10.6959        0.0087         0.0986         12.0808        9.1008         333.7798       
400.0000       9.9739         6.0000         1.7445         274.7129       110.1601       96.6358        218.5936       92.4830        260.0538       90.7278        84.2932        92.6255        150.2131       148.7303       149.4717       83.8014        82.3190        83.0602        211.9835       208.4917       210.2381       0.2656         0.5557         10.3454        0.0089         0.1000         12.2134        9.2565         335.6754       
