The SAM model uses the reference state from MgSiO3.dat at T = 300.000000     K
Reference data for Orthorhombic structure, Space-Group Number between 16 and 74: 
T(K)           V(ang^3/atom)  P(GPa)         rho(g/cm^3)    C11(GPa)       C12(GPa)       C13(GPa)       C22(GPa)       C23(GPa)       C33(GPa)       C44(GPa)       C55(GPa)       C66(GPa)       BH(GPa)        GH(GPa)        EH(GPa)        Debye(K)       
300.0000       10.4021        0.0000         1.0000         229.5300       78.5300        58.6500        175.1600       50.4800        198.3800       82.4400        75.6100        80.4200        107.7023       74.7456        182.1089       318.9209       
300.0000       10.0100        5.0000         1.0000         271.0000       106.9200       93.2000        215.4400       88.8500        256.1700       90.5400        84.4600        91.9700        145.9952       82.9117        209.1438       335.4032       
300.0000       9.6982         10.0000        1.0000         304.5000       130.4200       119.5500       244.5700       117.6500       295.0900       95.2800        87.9600        100.3500       174.7051       87.6248        225.2206       343.9890       
The SAM model parameters are as follows:
V: b0 is 0.00336220 (ang$^3/atom)     b1 is -0.08623644 (ang^3/atom/GPa)     RMSE is 0.00881861 (ang^3/atom)
C11: b0 is -0.190479 (GPa)     b1 is 8.655314     RMSE is 0.215246 (GPa)
C12: b0 is -0.174686 (GPa)     b1 is 4.719688     RMSE is 0.335648 (GPa)
C13: b0 is -0.326424 (GPa)     b1 is 6.571585     RMSE is 0.577856 (GPa)
C22: b0 is -0.431837 (GPa)     b1 is 9.311977     RMSE is 0.668243 (GPa)
C23: b0 is -0.398568 (GPa)     b1 is 7.740900     RMSE is 0.770294 (GPa)
C33: b0 is -0.761491 (GPa)     b1 is 14.377861     RMSE is 1.146501 (GPa)
C44: b0 is -0.126848 (GPa)     b1 is 2.673053     RMSE is 0.150561 (GPa)
C55: b0 is -0.215697 (GPa)     b1 is 3.474104     RMSE is 0.254464 (GPa)
C66: b0 is -0.106035 (GPa)     b1 is 3.202637     RMSE is 0.123131 (GPa)
B: b0 is -0.394676 (GPa)     b1 is 8.149268     RMSE is 0.670872 (GPa)
G: b0 is -0.131439 (GPa)     b1 is 2.818783     RMSE is 0.158436 (GPa)
E: b0 is -0.473103 (GPa)     b1 is 8.621196     RMSE is 0.740907 (GPa)
The modeled elastic constants and moduli are as follows:
T(K)           P(GPa)         V(ang^3/atom)  C11(GPa)       C12(GPa)       C13(GPa)       C22(GPa)       C23(GPa)       C33(GPa)       C44(GPa)       C55(GPa)       C66(GPa)       B(GPa)         G(GPa)         E(GPa)         
400.0000       10.0000        9.7187         301.8738       129.2635       118.2633       242.6273       116.1891       292.4590       94.7336        87.4476        99.5166        173.0702       87.0395        223.7072       
500.0000       0.0000         10.4755        222.1705       74.5169        53.0622        167.2421       43.8980        186.1546       80.1671        72.6560        77.6968        100.7731       72.3488        174.7784       
500.0000       1.0000         10.3934        230.7043       80.3852        60.3073        175.7470       51.9784        198.4854       81.9184        74.6394        80.1255        108.8386       74.1185        180.6626       
500.0000       2.0000         10.3114        239.2332       86.2496        67.5452        184.2424       60.0503        210.7998       83.6669        76.6183        82.5516        116.8955       75.8854        186.5367       
500.0000       3.0000         10.2295        247.7571       92.1100        74.7763        192.7286       68.1138        223.0984       85.4127        78.5927        84.9754        124.9441       77.6494        192.4010       
500.0000       4.0000         10.1477        256.2764       97.9667        82.0007        201.2059       76.1692        235.3816       87.1560        80.5629        87.3968        132.9846       79.4107        198.2558       
500.0000       5.0000         10.0660        264.7911       103.8197       89.2186        209.6745       84.2168        247.6498       88.8966        82.5290        89.8159        141.0172       81.1694        204.1014       
500.0000       6.0000         10.0006        271.6774       108.6766       94.7718        215.8779       90.3214        256.0904       89.9552        83.4124        91.5885        147.1025       82.2268        207.7234       
500.0000       7.0000         9.9353         278.5618       113.5317       100.3220       222.0773       96.4224        264.5240       91.0126        84.2938        93.3602        153.1842       83.2830        211.3410       
500.0000       8.0000         9.8700         285.4442       118.3852       105.8693       228.2727       102.5196       272.9506       92.0689        85.1733        95.1308        159.2622       84.3380        214.9543       
500.0000       9.0000         9.8048         292.3247       123.2371       111.4136       234.4642       108.6134       281.3705       93.1240        86.0509        96.9004        165.3367       85.3918        218.5633       
500.0000       10.0000        9.7395         299.2033       128.0874       116.9549       240.6518       114.7035       289.7836       94.1779        86.9265        98.6691        171.4076       86.4444        222.1682       
600.0000       0.0000         10.5126        218.4373       72.4812        50.2278        163.2257       40.5592        179.9533       79.0142        71.1576        76.3155        97.2582        71.1331        171.0599       
600.0000       1.0000         10.4288        227.0918       78.4456        57.6420        171.9572       48.8449        192.6743       80.8318        73.2488        78.8039        105.5291       72.9717        177.1852       
600.0000       2.0000         10.3450        235.7387       84.4039        65.0456        180.6745       57.1178        205.3709       82.6452        75.3333        81.2887        113.7873       74.8060        183.2954       
600.0000       3.0000         10.2614        244.3784       90.3564        72.4389        189.3781       65.3782        218.0439       84.4546        77.4112        83.7698        122.0329       76.6361        189.3909       
